Timestamp,Speed,dist,left_angle,right_angle,pitch,roll,yaw,velX,velY,velZ,AbsTime
11254.3161,6.8200,57.6100,1.3100,5.3500,2.7031,1.8281,60.4141,3.3750,5.9063,0.0313,2021-09-10 12:31:06.0003
11254.3164,6.8200,57.6100,1.3100,5.3500,2.7031,1.8281,60.4141,3.3750,5.9063,0.0469,2021-09-10 12:31:06.0006
11254.3359,6.8200,57.6100,1.3100,5.3500,2.6719,1.7891,60.4141,3.3750,5.9063,0.0469,2021-09-10 12:31:06.0201
11254.3362,6.8200,57.6100,1.3100,5.3500,2.6719,1.7891,60.4141,3.3750,5.9063,0.0781,2021-09-10 12:31:06.0204
11254.3422,6.8200,68.6600,1.0600,5.2800,2.6719,1.7891,60.4141,3.3750,5.9063,0.0781,2021-09-10 12:31:06.0264
11254.3423,6.8000,68.6600,1.0600,5.2800,2.6719,1.7891,60.4141,3.3750,5.9063,0.0781,2021-09-10 12:31:06.0265
11254.3557,6.8000,68.6600,1.0600,5.2800,2.6406,1.7500,60.4141,3.3750,5.9063,0.0781,2021-09-10 12:31:06.0399
11254.3560,6.8000,68.6600,1.0600,5.2800,2.6406,1.7500,60.4141,3.3906,5.9063,0.0938,2021-09-10 12:31:06.0403
11254.3763,6.8000,68.6600,1.0600,5.2800,2.5859,1.6953,60.4219,3.3906,5.9063,0.0938,2021-09-10 12:31:06.0605
11254.3766,6.8000,68.6600,1.0600,5.2800,2.5859,1.6953,60.4219,3.3906,5.9063,0.0938,2021-09-10 12:31:06.0608
11254.3961,6.8000,68.6600,1.0600,5.2800,2.5469,1.6328,60.4297,3.3906,5.9063,0.0938,2021-09-10 12:31:06.0803
11254.3965,6.8000,68.6600,1.0600,5.2800,2.5469,1.6328,60.4297,3.3906,5.8906,0.0938,2021-09-10 12:31:06.0807
11254.4159,6.8000,68.6600,1.0600,5.2800,2.4844,1.5703,60.4375,3.3906,5.8906,0.0938,2021-09-10 12:31:06.1001
11254.4162,6.8000,68.6600,1.0600,5.2800,2.4844,1.5703,60.4375,3.3906,5.8906,0.1094,2021-09-10 12:31:06.1005
11254.4356,6.8000,68.6600,1.0600,5.2800,2.4531,1.4844,60.4453,3.3906,5.8906,0.1094,2021-09-10 12:31:06.1198
11254.4359,6.8000,68.6600,1.0600,5.2800,2.4531,1.4844,60.4453,3.3906,5.8906,0.1250,2021-09-10 12:31:06.1202
11254.4420,6.8000,68.6600,0.5000,4.3800,2.4531,1.4844,60.4453,3.3906,5.8906,0.1250,2021-09-10 12:31:06.1263
11254.4422,6.7900,68.6600,0.5000,4.3800,2.4531,1.4844,60.4453,3.3906,5.8906,0.1250,2021-09-10 12:31:06.1264
11254.4561,6.7900,68.6600,0.5000,4.3800,2.4219,1.3984,60.4609,3.3906,5.8906,0.1250,2021-09-10 12:31:06.1403
11254.4565,6.7900,68.6600,0.5000,4.3800,2.4219,1.3984,60.4609,3.3906,5.8906,0.1406,2021-09-10 12:31:06.1407
11254.4759,6.7900,68.6600,0.5000,4.3800,2.4063,1.2969,60.4688,3.3906,5.8906,0.1406,2021-09-10 12:31:06.1601
11254.4762,6.7900,68.6600,0.5000,4.3800,2.4063,1.2969,60.4688,3.4063,5.9063,0.1406,2021-09-10 12:31:06.1605
11254.4958,6.7900,68.6600,0.5000,4.3800,2.4063,1.1875,60.4766,3.4063,5.9063,0.1406,2021-09-10 12:31:06.1801
11254.4962,6.7900,68.6600,0.5000,4.3800,2.4063,1.1875,60.4766,3.3906,5.9063,0.1406,2021-09-10 12:31:06.1805
11254.5164,6.7900,68.6600,0.5000,4.3800,2.3984,1.0703,60.4922,3.3906,5.9063,0.1406,2021-09-10 12:31:06.2006
11254.5167,6.7900,68.6600,0.5000,4.3800,2.3984,1.0703,60.4922,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2009
11254.5362,6.7900,68.6600,0.5000,4.3800,2.4063,0.9531,60.4922,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2204
11254.5365,6.7900,68.6600,0.5000,4.3800,2.4063,0.9531,60.4922,3.3906,5.9063,0.1406,2021-09-10 12:31:06.2207
11254.5416,6.7900,63.6200,1.1000,4.5100,2.4063,0.9531,60.4922,3.3906,5.9063,0.1406,2021-09-10 12:31:06.2258
11254.5417,6.8100,63.6200,1.1000,4.5100,2.4063,0.9531,60.4922,3.3906,5.9063,0.1406,2021-09-10 12:31:06.2260
11254.5558,6.8100,63.6200,1.1000,4.5100,2.3984,0.8281,60.5000,3.3906,5.9063,0.1406,2021-09-10 12:31:06.2401
11254.5562,6.8100,63.6200,1.1000,4.5100,2.3984,0.8281,60.5000,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2405
11254.5756,6.8100,63.6200,1.1000,4.5100,2.4141,0.6953,60.5078,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2599
11254.5759,6.8100,63.6200,1.1000,4.5100,2.4141,0.6953,60.5078,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2602
11254.5961,6.8100,63.6200,1.1000,4.5100,2.4297,0.5547,60.5078,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2804
11254.5965,6.8100,63.6200,1.1000,4.5100,2.4297,0.5547,60.5078,3.4063,5.9063,0.1406,2021-09-10 12:31:06.2808
11254.6160,6.8100,63.6200,1.1000,4.5100,2.4531,0.4141,60.5000,3.4063,5.9063,0.1406,2021-09-10 12:31:06.3002
11254.6163,6.8100,63.6200,1.1000,4.5100,2.4531,0.4141,60.5000,3.4063,5.9219,0.1406,2021-09-10 12:31:06.3005
11254.6359,6.8100,63.6200,1.1000,4.5100,2.4688,0.2734,60.4922,3.4063,5.9219,0.1406,2021-09-10 12:31:06.3201
11254.6362,6.8100,63.6200,1.1000,4.5100,2.4688,0.2734,60.4922,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3204
11254.6417,6.8100,63.6200,1.8500,4.3200,2.4688,0.2734,60.4922,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3259
11254.6419,6.8300,63.6200,1.8500,4.3200,2.4688,0.2734,60.4922,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3261
11254.6562,6.8300,63.6200,1.8500,4.3200,2.4766,0.1406,60.4844,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3405
11254.6565,6.8300,63.6200,1.8500,4.3200,2.4766,0.1406,60.4844,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3408
11254.6760,6.8300,63.6200,1.8500,4.3200,2.4844,0.0156,60.4688,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3602
11254.6763,6.8300,63.6200,1.8500,4.3200,2.4844,0.0156,60.4688,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3606
11254.6959,6.8300,63.6200,1.8500,4.3200,2.4922,-0.1094,60.4531,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3802
11254.6962,6.8300,63.6200,1.8500,4.3200,2.4922,-0.1094,60.4531,3.4219,5.9219,0.1406,2021-09-10 12:31:06.3805
11254.7158,6.8300,63.6200,1.8500,4.3200,2.5156,-0.2344,60.4297,3.4219,5.9219,0.1406,2021-09-10 12:31:06.4000
11254.7161,6.8300,63.6200,1.8500,4.3200,2.5156,-0.2344,60.4297,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4003
11254.7361,6.8300,63.6200,1.8500,4.3200,2.5313,-0.3438,60.3984,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4204
11254.7364,6.8300,63.6200,1.8500,4.3200,2.5313,-0.3438,60.3984,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4207
11254.7416,6.8300,63.6200,2.0900,3.6500,2.5313,-0.3438,60.3984,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4259
11254.7418,6.8500,63.6200,2.0900,3.6500,2.5313,-0.3438,60.3984,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4261
11254.7559,6.8500,63.6200,2.0900,3.6500,2.5625,-0.4609,60.3750,3.4219,5.9375,0.1406,2021-09-10 12:31:06.4402
11254.7562,6.8500,63.6200,2.0900,3.6500,2.5625,-0.4609,60.3750,3.4219,5.9531,0.1406,2021-09-10 12:31:06.4405
11254.7757,6.8500,63.6200,2.0900,3.6500,2.5781,-0.5703,60.3438,3.4219,5.9531,0.1406,2021-09-10 12:31:06.4600
11254.7761,6.8500,63.6200,2.0900,3.6500,2.5781,-0.5703,60.3438,3.4219,5.9531,0.1250,2021-09-10 12:31:06.4604
11254.7963,6.8500,63.6200,2.0900,3.6500,2.5938,-0.6797,60.3125,3.4219,5.9531,0.1250,2021-09-10 12:31:06.4805
11254.7967,6.8500,63.6200,2.0900,3.6500,2.5938,-0.6797,60.3125,3.4219,5.9531,0.1094,2021-09-10 12:31:06.4809
11254.8164,6.8500,63.6200,2.0900,3.6500,2.6328,-0.7969,60.2813,3.4219,5.9531,0.1094,2021-09-10 12:31:06.5006
11254.8168,6.8500,63.6200,2.0900,3.6500,2.6328,-0.7969,60.2813,3.4375,5.9531,0.1094,2021-09-10 12:31:06.5011
11254.8358,6.8500,63.6200,2.0900,3.6500,2.6641,-0.9063,60.2422,3.4375,5.9531,0.1094,2021-09-10 12:31:06.5201
11254.8361,6.8500,63.6200,2.0900,3.6500,2.6641,-0.9063,60.2422,3.4375,5.9688,0.0938,2021-09-10 12:31:06.5204
11254.8416,6.8500,62.2800,2.2400,3.0800,2.6641,-0.9063,60.2422,3.4375,5.9688,0.0938,2021-09-10 12:31:06.5258
11254.8417,6.8700,62.2800,2.2400,3.0800,2.6641,-0.9063,60.2422,3.4375,5.9688,0.0938,2021-09-10 12:31:06.5260
11254.8558,6.8700,62.2800,2.2400,3.0800,2.6953,-1.0156,60.2031,3.4375,5.9688,0.0938,2021-09-10 12:31:06.5400
11254.8561,6.8700,62.2800,2.2400,3.0800,2.6953,-1.0156,60.2031,3.4375,5.9688,0.0781,2021-09-10 12:31:06.5403
11254.8764,6.8700,62.2800,2.2400,3.0800,2.7109,-1.1250,60.1641,3.4375,5.9688,0.0781,2021-09-10 12:31:06.5606
11254.8767,6.8700,62.2800,2.2400,3.0800,2.7109,-1.1250,60.1641,3.4375,5.9688,0.0625,2021-09-10 12:31:06.5609
11254.8960,6.8700,62.2800,2.2400,3.0800,2.7344,-1.2266,60.1250,3.4375,5.9688,0.0625,2021-09-10 12:31:06.5803
11254.8963,6.8700,62.2800,2.2400,3.0800,2.7344,-1.2266,60.1250,3.4375,5.9688,0.0625,2021-09-10 12:31:06.5806
11254.9157,6.8700,62.2800,2.2400,3.0800,2.7578,-1.3125,60.0859,3.4375,5.9688,0.0625,2021-09-10 12:31:06.6000
11254.9160,6.8700,62.2800,2.2400,3.0800,2.7578,-1.3125,60.0859,3.4375,5.9688,0.0469,2021-09-10 12:31:06.6003
11254.9362,6.8700,62.2800,2.2400,3.0800,2.7813,-1.3828,60.0391,3.4375,5.9688,0.0469,2021-09-10 12:31:06.6205
11254.9367,6.8700,62.2800,2.2400,3.0800,2.7813,-1.3828,60.0391,3.4375,5.9844,0.0469,2021-09-10 12:31:06.6209
11254.9417,6.8700,59.0400,2.5200,3.0000,2.7813,-1.3828,60.0391,3.4375,5.9844,0.0469,2021-09-10 12:31:06.6259
11254.9419,6.8800,59.0400,2.5200,3.0000,2.7813,-1.3828,60.0391,3.4375,5.9844,0.0469,2021-09-10 12:31:06.6262
11254.9560,6.8800,59.0400,2.5200,3.0000,2.8203,-1.4453,59.9844,3.4375,5.9844,0.0469,2021-09-10 12:31:06.6403
11254.9564,6.8800,59.0400,2.5200,3.0000,2.8203,-1.4453,59.9844,3.4375,5.9844,0.0313,2021-09-10 12:31:06.6406
11254.9760,6.8800,59.0400,2.5200,3.0000,2.8516,-1.4844,59.9375,3.4375,5.9844,0.0313,2021-09-10 12:31:06.6602
11254.9763,6.8800,59.0400,2.5200,3.0000,2.8516,-1.4844,59.9375,3.4531,5.9844,0.0156,2021-09-10 12:31:06.6605
11254.9957,6.8800,59.0400,2.5200,3.0000,2.8750,-1.5156,59.8828,3.4531,5.9844,0.0156,2021-09-10 12:31:06.6799
11254.9960,6.8800,59.0400,2.5200,3.0000,2.8750,-1.5156,59.8828,3.4531,5.9844,0.0000,2021-09-10 12:31:06.6802
11255.0161,6.8800,59.0400,2.5200,3.0000,2.9063,-1.5313,59.8281,3.4531,5.9844,0.0000,2021-09-10 12:31:06.7004
11255.0165,6.8800,59.0400,2.5200,3.0000,2.9063,-1.5313,59.8281,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7007
11255.0361,6.8800,59.0400,2.5200,3.0000,2.9375,-1.5313,59.7813,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7204
11255.0364,6.8800,59.0400,2.5200,3.0000,2.9375,-1.5313,59.7813,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7207
11255.0416,6.8800,57.3100,2.8800,2.8800,2.9375,-1.5313,59.7813,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7258
11255.0417,6.9000,57.3100,2.8800,2.8800,2.9375,-1.5313,59.7813,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7260
11255.0559,6.9000,57.3100,2.8800,2.8800,2.9844,-1.5313,59.7266,3.4531,5.9844,-0.0156,2021-09-10 12:31:06.7401
11255.0563,6.9000,57.3100,2.8800,2.8800,2.9844,-1.5313,59.7266,3.4531,5.9844,-0.0313,2021-09-10 12:31:06.7405
11255.0764,6.9000,57.3100,2.8800,2.8800,3.0156,-1.5000,59.6719,3.4531,5.9844,-0.0313,2021-09-10 12:31:06.7606
11255.0768,6.9000,57.3100,2.8800,2.8800,3.0156,-1.5000,59.6719,3.4531,5.9844,-0.0469,2021-09-10 12:31:06.7610
11255.0961,6.9000,57.3100,2.8800,2.8800,3.0547,-1.4609,59.6172,3.4531,5.9844,-0.0469,2021-09-10 12:31:06.7804
11255.0964,6.9000,57.3100,2.8800,2.8800,3.0547,-1.4609,59.6172,3.4531,5.9844,-0.0469,2021-09-10 12:31:06.7807
11255.1159,6.9000,57.3100,2.8800,2.8800,3.0781,-1.3984,59.5547,3.4531,5.9844,-0.0469,2021-09-10 12:31:06.8001
11255.1162,6.9000,57.3100,2.8800,2.8800,3.0781,-1.3984,59.5547,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8004
11255.1357,6.9000,57.3100,2.8800,2.8800,3.1016,-1.3203,59.5000,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8199
11255.1360,6.9000,57.3100,2.8800,2.8800,3.1016,-1.3203,59.5000,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8202
11255.1416,6.9000,54.4300,2.8500,2.9500,3.1016,-1.3203,59.5000,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8258
11255.1417,6.9000,54.4300,2.8500,2.9500,3.1016,-1.3203,59.5000,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8260
11255.1563,6.9000,54.4300,2.8500,2.9500,3.1328,-1.2422,59.4453,3.4531,5.9844,-0.0625,2021-09-10 12:31:06.8405
11255.1566,6.9000,54.4300,2.8500,2.9500,3.1328,-1.2422,59.4453,3.4531,5.9844,-0.0781,2021-09-10 12:31:06.8408
11255.1761,6.9000,54.4300,2.8500,2.9500,3.1563,-1.1563,59.3828,3.4531,5.9844,-0.0781,2021-09-10 12:31:06.8604
11255.1764,6.9000,54.4300,2.8500,2.9500,3.1563,-1.1563,59.3828,3.4688,5.9688,-0.0781,2021-09-10 12:31:06.8607
